	anger	contempt	disgust	fear	happiness	neutral	sadness	surprise
2004662989	0.00108726986	0.00499676866	0.000512844	1.72666887e-07	0.008421106	0.9798185	0.005149487	1.38252135e-05
2004662988	0.00223421585	0.00091609	0.0005226139	0.000281733373	0.91652745	0.071579814	0.00183080451	0.006107287
brh2003002773/PP	0.328580141	0.009351989	0.002832967	0.0212142933	2.07647117e-05	0.5033913	0.0134559646	0.12115255
92517233	0.003713428	0.012580337	0.0005820773	7.396332e-05	0.0156842936	0.9549592	0.0118234428	0.0005832687
2008677066	0.00278024236	0.00011372866	0.00017859129	3.264309e-05	0.00997593347	0.979638	0.006882544	0.0003983552
2004662674	0.000184469041	0.009611645	6.91835448e-05	5.1395e-05	0.222261578	0.7590389	0.00106244849	0.00772036053
cwp2003002244/PP	0.000677226868	0.00165388768	8.082878e-05	4.546129e-05	0.00021350004	0.987267435	0.00946292747	0.0005987128
2004662676	0.001058146	0.01303836	3.00775846e-05	8.189833e-07	0.0312077366	0.953623	0.00101863255	2.32246512e-05
2004662671	0.0001100061	0.0596264973	9.29655944e-05	0.0001265723	0.409022331	0.508609	0.0005952468	0.0218173619
2004662670	2.54546649e-07	2.96392136e-06	7.850551e-08	2.00709476e-08	0.999844432	0.0001442277	9.729665e-08	7.916448e-06
2004662673	7.704234e-07	3.94612543e-05	1.07716474e-07	1.850978e-07	0.999771953	0.000106171319	3.10767831e-07	8.10468046e-05
2004662672	0.000739957846	0.00727100158	0.000106788255	0.000482839241	0.103007771	0.8664323	0.00188463181	0.02007473
agc1996005583/PP	2.2703256e-05	0.000141938	1.84654155e-07	2.40953764e-08	7.649703e-07	0.99976784	6.516417e-05	1.37472784e-06
det1994002741/PP	7.58883e-05	7.769135e-05	2.75364346e-06	6.86736239e-05	6.1434946e-07	0.996732354	0.00218967861	0.000852360448
2008675510	0.000384834217	0.00028600794	0.00011520159	3.38904783e-06	3.50622e-05	0.7416088	0.257542223	2.44557523e-05
2004662678	1.09089588e-05	0.00055257295	1.50524454e-06	3.62425737e-07	0.02565851	0.9736301	2.642206e-05	0.000119658747
2008678001	0.00149595225	0.0003296353	0.000353518262	0.005846839	0.000568761956	0.9408935	0.0306995288	0.01981228
2008678000	0.0024550946	0.001397864	0.00327610015	0.0382273942	0.000539711968	0.8046899	0.0555605181	0.09385343
2008678003	0.000216180546	0.00283179386	5.7605248e-05	4.94792839e-05	0.0189894121	0.9681636	0.000437942042	0.009253951
2008678002	0.00543550961	0.0211869385	0.00148738071	0.002167557	0.004085808	0.9449974	0.00165932789	0.0189801343
2008678005	2.15952059e-05	0.000836784253	7.758017e-06	8.578857e-07	0.0486160778	0.94975704	6.31754447e-05	0.000696704665
2008678007	0.00339385867	0.001895644	0.00105140253	0.00392826274	8.272784e-05	0.9060697	0.07804766	0.005530754
2008678009	0.003953776	0.00323178223	0.00042054322	6.7044557e-06	0.000441705051	0.989666	0.00217306241	0.000106431427
2008678008	0.002684868	0.00135181169	2.426536e-05	7.960441e-07	0.000370543	0.995302141	0.000227498618	3.807638e-05
93510095	0.305291831	0.0191361029	0.00127297465	2.79545543e-06	2.758868e-07	0.643413	0.0308603	2.268403e-05
brh2003001929/PP	0.00137870607	0.00429801038	0.000749209255	1.85675435e-05	0.0287098717	0.9626394	0.00136458129	0.0008416857
cwp2003002032/PP	0.00683136936	0.0028904	0.0003269502	1.26447057e-05	0.000666573935	0.9847845	0.004336133	0.000151455781
brh2003002644/PP	0.000395924755	0.000501902949	1.38041287e-05	5.304684e-07	1.99108817e-05	0.998408	0.000648280431	1.16369747e-05
92510171	9.053184e-05	0.0008817113	5.45186458e-06	1.03678815e-06	0.0156745017	0.983192	8.20720161e-05	7.268072e-05
brh2003002161/PP	0.05668407	0.000164541634	0.000154931768	3.3848292e-07	4.070025e-06	0.941745341	0.00123767008	9.024357e-06
det1994002990/PP	6.791633e-05	0.0005838609	8.77943364e-07	1.67285616e-08	1.36532935e-05	0.9992151	0.0001161666	2.37594236e-06
94509204	0.001035379	0.00707866345	0.00264557754	3.08185445e-05	0.725178361	0.2574024	0.006262855	0.0003659718
96508382	0.0103578763	0.034664195	0.001485105	0.0012299103	0.0245691352	0.89043957	0.002019263	0.0352349356
ggb2004000947	7.522391e-05	0.004564001	3.941201e-05	5.415488e-09	0.127621323	0.86766696	3.22617052e-05	8.25894858e-07
ggb2004000944	0.000414157344	0.000429709471	1.63920067e-05	4.363284e-07	0.000408658263	0.997954667	0.00070048304	7.55016663e-05
thc1995009471/PP	0.0116998311	0.007123367	0.0004970415	4.02955666e-05	0.000645071035	0.9771232	0.00221642223	0.0006547809
brh2003001505/PP	0.0167177822	0.000180509247	0.000115955954	0.000343554	3.69471963e-05	0.97963053	0.00167298631	0.0013017233
97510026	5.70197153e-06	3.74515457e-06	2.1799674e-06	2.35202835e-09	0.999913156	7.48910243e-05	4.625932e-08	2.90041783e-07
2015647548	0.02901197	0.00119367929	0.0151602356	7.826238e-05	0.688671649	0.263338149	0.00041527854	0.002130778
brh2003002163/PP	0.00456593651	0.0018626852	0.000221361712	0.000689892564	0.000863757567	0.9805384	0.008753494	0.00250443327
2015647543	0.002710505	0.000764113152	1.43285288e-05	4.553623e-05	2.16370627e-05	0.99554044	0.000228354838	0.000675107352
2015647547	0.0142786754	0.00116213353	0.00324493041	0.0003193841	0.9352466	0.03744238	0.00771717168	0.000588710362
hec2009004510	0.000213082778	0.007066582	7.131701e-06	3.01696728e-05	8.643612e-05	0.988778532	0.00374852633	6.955797e-05
hec2009004512	6.10513744e-05	0.00185694161	2.65791477e-05	1.01241021e-05	0.00147230807	0.99194324	0.00448102271	0.00014875982
hec2009004514	0.00013627985	0.00690732151	2.20744514e-05	2.23553471e-07	0.0534968041	0.9391718	0.000248058757	1.74591969e-05
hec2009004515	0.005324293	0.00676539727	0.0004661762	1.21869562e-05	0.005740897	0.9749989	0.006513004	0.000179132127
hec2009004516	0.000232370032	0.00114275143	1.085212e-05	4.23247855e-07	0.00016163761	0.9980967	0.000332821044	2.2417149e-05
hec2009007828	0.000124439248	1.412471e-05	1.84813871e-06	3.15694319e-06	8.42247e-05	0.9993428	0.000308291026	0.000121141158
hec2009004518	0.0008528852	0.006720487	0.00228096149	0.0004728054	0.0112215811	0.7509733	0.226167277	0.00131074071
hec2009004519	0.00286295218	0.00232941774	0.00474824756	0.0004677337	0.00112580135	0.9170293	0.069784835	0.00165169581
2013646789	0.000468290236	0.00118712848	5.07096775e-06	9.224211e-08	0.00294098025	0.995328	6.0813356e-05	9.603241e-06
2012647109	0.001611309	0.00514968252	0.0007906457	4.11158944e-05	0.150537983	0.837392	0.004189306	0.000287983479
